"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Hyundai, All Models, All Vehicle Years, #","All Types, Mercedes-Benz, All Models, All Vehicle Years, #","All Types, Subaru, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Hyundai, All Models, All Vehicle Years, #","Automobiles, Mercedes-Benz, All Models, All Vehicle Years, #","Automobiles, Subaru, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Light Trucks, All Makes, All Models, All Vehicle Years, #","Light Trucks, Chevrolet, All Models, All Vehicle Years, #","Light Trucks, Ford, All Models, All Vehicle Years, #","Light Trucks, Hyundai, All Models, All Vehicle Years, #","Light Trucks, Mercedes-Benz, All Models, All Vehicle Years, #","Light Trucks, Subaru, All Models, All Vehicle Years, #","Light Trucks, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #"
"04/1985",9220,1886,1574,,18,56,338,9154,1884,1574,,18,56,338,,,,,,,,
"05/1985",10412,2020,1762,,22,78,426,10356,2020,1762,,22,76,426,,,,,,,,
"06/1985",10958,2208,1762,,32,88,378,10888,2208,1762,,30,88,378,,,,,,,,
"07/1985",10780,2118,1700,,34,64,390,10694,2118,1700,,34,64,390,,,,,,,,
"08/1985",11314,2172,1892,,30,60,462,11220,2170,1892,,30,60,462,,,,,,,,
"09/1985",10068,2070,1882,,24,52,388,9992,2068,1878,,24,52,386,,,,,,,,
"10/1985",10240,2108,1824,,30,48,422,10150,2108,1824,,30,48,422,,,,,,,,
"11/1985",10158,2076,1864,,16,46,428,10056,2074,1860,,16,46,428,,,,,,,,
"12/1985",9366,1916,1754,,20,70,338,9262,1916,1754,,20,70,336,,,,,,,,
"01/1986",8254,1776,1444,,20,40,368,8170,1776,1444,,18,40,366,,,,,,,,
"02/1986",7296,1544,1306,,26,24,316,7248,1544,1306,,26,24,316,,,,,,,,
"03/1986",8990,1798,1566,,20,50,412,8918,1798,1564,,20,50,412,,,,,,,,
"04/1986",9142,1914,1646,,42,58,384,9078,1914,1646,,42,58,384,,,,,,,,
"05/1986",10806,2090,1900,,26,36,452,10694,2090,1900,,24,36,452,,,,,,,,
"06/1986",11232,2144,1944,,26,64,402,11122,2144,1944,,26,64,402,,,,,,,,
"07/1986",11542,2180,1906,,22,92,448,11458,2180,1906,,20,92,448,,,,,,,,
"08/1986",12368,2426,2050,,34,60,482,12272,2426,2046,,34,60,480,,,,,,,,
"09/1986",10596,2086,1748,,18,56,436,10512,2086,1746,,12,56,436,,,,,,,,
"10/1986",10922,2190,1908,,42,56,500,10842,2190,1908,,42,56,500,,,,,,,,
"11/1986",10300,2106,1786,,20,86,446,10222,2102,1786,,20,86,446,,,,,,,,
"12/1986",10136,2042,1810,,26,60,430,10060,2042,1810,,24,60,428,,,,,,,,
"01/1987",8314,1712,1474,,32,46,352,8236,1712,1474,,32,46,352,,,,,,,,
"02/1987",7734,1624,1420,,28,66,300,7684,1624,1420,,28,66,300,,,,,,,,
"03/1987",8892,1824,1470,,26,52,450,8844,1824,1470,,26,52,450,,,,,,,,
"04/1987",9278,1904,1520,,32,36,416,9214,1902,1518,,32,36,416,,,,,,,,
"05/1987",10670,2024,1774,,32,50,478,10588,2022,1774,,32,50,478,,,,,,,,
"06/1987",11024,2144,1822,,28,80,390,10944,2144,1822,,28,80,390,,,,,,,,
"07/1987",11324,2090,1932,,40,64,510,11252,2090,1932,,40,64,510,,,,,,,,
"08/1987",12316,2456,2168,,28,78,488,12228,2456,2168,,28,78,486,,,,,,,,
"09/1987",10970,2204,1912,,26,72,506,10896,2204,1912,,26,72,506,,,,,,,,
"10/1987",11780,2390,2120,,20,76,514,11690,2390,2120,,20,76,514,,,,,,,,
"11/1987",10692,2268,1988,,48,90,458,10614,2266,1988,,48,90,458,,,,,,,,
"12/1987",10678,2170,1960,,28,64,496,10590,2168,1960,,28,64,496,,,,,,,,
"01/1988",8550,1728,1544,,36,76,386,8470,1728,1544,,36,76,386,,,,,,,,
"02/1988",8082,1664,1378,,22,46,410,8028,1664,1378,,22,46,410,,,,,,,,
"03/1988",9260,1804,1740,,34,38,432,9224,1804,1740,,34,38,432,,,,,,,,
"04/1988",9808,2012,1734,,36,78,420,9772,2012,1734,,36,78,420,,,,,,,,
"05/1988",10644,2022,1928,,28,48,488,10592,2022,1928,,28,48,488,,,,,,,,
"06/1988",11136,2178,1984,,38,64,472,11100,2178,1984,,38,64,472,,,,,,,,
"07/1988",11648,2296,2062,,48,74,494,11574,2294,2058,,48,74,494,,,,,,,,
"08/1988",11734,2318,1950,,42,82,572,11682,2318,1950,,42,82,572,,,,,,,,
"09/1988",11228,2340,2004,,18,68,478,11142,2338,2002,,18,68,478,,,,,,,,
"10/1988",11568,2242,2176,,44,82,520,11502,2242,2176,,42,82,518,,,,,,,,
"11/1988",10454,2198,1918,,44,80,482,10410,2198,1918,,44,80,482,,,,,,,,
"12/1988",11294,2278,1984,,44,80,578,11232,2278,1984,,44,80,578,,,,,,,,
"01/1989",9020,1754,1622,,18,76,432,8942,1754,1622,,18,76,432,,,,,,,,
"02/1989",7982,1618,1446,,32,34,428,7934,1618,1444,,32,34,428,,,,,,,,
"03/1989",9470,1870,1640,,24,54,492,9420,1870,1640,,24,54,490,,,,,,,,
"04/1989",9576,1848,1784,,22,70,444,9538,1848,1784,,22,70,444,,,,,,,,
"05/1989",10170,2014,1824,,16,52,530,10118,2014,1824,,16,52,530,,,,,,,,
"06/1989",10364,2010,1844,,28,72,490,10282,2010,1844,,28,72,488,,,,,,,,
"07/1989",11218,2158,1914,,34,72,514,11152,2158,1914,,34,72,514,,,,,,,,
"08/1989",11042,2152,1946,,38,92,538,10974,2150,1946,,36,92,538,,,,,,,,
"09/1989",10886,2242,1978,,28,84,524,10816,2240,1976,,28,84,522,,,,,,,,
"10/1989",11154,2202,1964,,44,92,542,11074,2202,1964,,44,92,542,,,,,,,,
"11/1989",9886,1922,1858,,18,84,498,9798,1920,1858,,18,84,498,,,,,,,,
"12/1989",10972,2118,2074,,34,98,542,10892,2118,2074,,34,98,542,,,,,,,,
"01/1990",8770,1762,1666,,30,66,490,8698,1762,1666,,30,66,490,,,,,,,,
"02/1990",7910,1480,1436,,22,76,384,7858,1480,1436,,22,76,384,,,,,,,,
"03/1990",9364,1876,1704,,28,72,502,9306,1876,1704,,28,72,502,,,,,,,,
"04/1990",9296,1810,1650,,24,68,422,9238,1808,1648,,24,68,422,,,,,,,,
"05/1990",10112,1942,1812,,30,60,476,10040,1942,1812,,30,60,472,,,,,,,,
"06/1990",10726,2034,1840,,30,60,544,10678,2034,1840,,30,60,544,,,,,,,,
"07/1990",11324,2302,2058,,36,54,590,11234,2302,2056,,36,54,588,,,,,,,,
"08/1990",11130,2164,1964,,26,76,532,11068,2164,1964,,26,76,532,,,,,,,,
"09/1990",10544,1928,1836,,28,94,470,10472,1926,1836,,28,94,470,,,,,,,,
"10/1990",10176,1926,1892,,32,70,610,10118,1924,1892,,32,70,608,,,,,,,,
"11/1990",9656,1858,1772,,32,70,486,9602,1858,1772,,32,70,484,,,,,,,,
"12/1990",9576,1858,1764,,32,66,576,9510,1858,1760,,32,66,576,,,,,,,,
"01/1991",7338,1386,1426,50,22,44,374,4308,804,650,50,22,44,228,1942,550,678,,,,136,72
"02/1991",7294,1434,1378,36,26,54,422,4318,822,674,36,26,54,266,2010,572,622,,,,156,90
"03/1991",8494,1706,1474,62,30,50,508,5128,956,732,62,30,50,326,2294,734,678,,,,182,138
"04/1991",8142,1686,1498,60,18,72,420,4716,1002,690,60,18,72,264,2178,662,734,,,,156,226
"05/1991",9586,1826,1764,68,24,38,506,5446,998,894,68,16,38,354,2460,790,784,,4,,150,428
"06/1991",10136,2008,1834,66,18,62,462,5562,1114,844,66,18,62,274,2750,854,872,,,,184,444
"07/1991",10310,1964,1818,60,22,78,548,5552,1032,808,60,22,78,322,2908,892,898,,,,226,510
"08/1991",10732,2066,1912,60,26,74,554,5924,1146,870,60,26,74,356,2876,894,924,,,,198,514
"09/1991",9620,1924,1702,48,30,68,476,5410,1078,806,48,28,68,284,2630,814,794,,,,192,386
"10/1991",9762,1964,1784,54,24,68,492,5500,1144,852,54,14,68,310,2674,786,846,,,,182,284
"11/1991",9472,1814,1764,60,28,62,530,5630,1008,822,60,26,62,348,2686,778,852,,,,182,162
"12/1991",8704,1684,1726,48,24,66,476,5268,938,886,48,24,66,276,2430,728,776,,,,198,106
"01/1992",7598,1526,1370,28,36,70,428,4496,844,670,28,34,70,268,2124,660,616,,,,160,116
"02/1992",7178,1450,1314,40,16,48,368,4280,826,606,40,12,48,226,2006,608,646,,,,142,122
"03/1992",7432,1578,1282,44,38,42,384,4420,926,676,44,38,42,226,2038,634,556,,,,158,208
"04/1992",7762,1536,1354,46,16,58,382,4388,800,664,46,16,58,232,2188,718,622,,,,150,312
"05/1992",9096,1790,1512,58,28,50,424,5158,1040,694,58,24,50,302,2488,738,760,,,,122,484
"06/1992",9510,1872,1668,54,12,76,454,5228,996,790,54,8,76,310,2670,848,806,,,,144,504
"07/1992",9340,1726,1736,68,24,60,474,5128,946,814,68,20,60,302,2646,760,844,,,,172,410
"08/1992",9832,1922,1818,58,36,70,492,5462,1052,868,58,36,70,296,2766,842,872,,,,196,498
"09/1992",8694,1806,1602,48,30,52,422,4704,936,708,48,30,52,248,2558,838,792,,,,174,386
"10/1992",10104,2060,1766,52,22,64,512,5788,1110,848,52,22,64,346,2760,918,810,,,,166,306
"11/1992",8796,1710,1646,50,18,58,474,5238,936,730,50,16,58,314,2466,752,832,,,,160,192
"12/1992",9112,1702,1776,74,28,86,518,5434,948,824,74,22,86,314,2664,738,864,,,,204,96
"01/1993",7498,1502,1374,40,18,44,368,4410,844,642,40,16,44,254,2098,630,664,,,,114,134
"02/1993",6994,1322,1234,36,26,50,390,4148,780,590,36,22,50,252,1928,528,588,,,,138,142
"03/1993",7946,1496,1410,50,24,48,400,4578,832,640,50,22,48,254,2228,648,678,,,,146,234
"04/1993",8102,1500,1458,48,26,48,416,4578,856,674,48,26,48,282,2254,618,708,,,,134,430
"05/1993",9308,1826,1674,72,36,46,508,5188,966,720,72,34,46,312,2690,828,872,,,,196,606
"06/1993",9070,1708,1614,56,32,42,522,4946,876,708,56,32,42,348,2658,808,810,,,,174,560
"07/1993",10202,1938,1820,58,28,68,498,5494,1020,834,58,24,68,286,2926,896,890,,,,210,736
"08/1993",10268,1958,1734,60,24,60,564,5412,1086,736,60,22,60,356,3002,850,892,,,,208,726
"09/1993",9548,1820,1706,64,22,56,474,5122,954,756,64,20,56,306,2764,826,842,,,,168,616
"10/1993",10300,1900,1918,60,38,64,568,5994,1088,926,60,38,64,358,2830,782,908,,,,208,418
"11/1993",9292,1722,1794,74,16,78,456,5308,868,808,74,16,78,280,2760,836,870,,,,172,212
